Tanggal,penjualan aktual,"Hasil Ramalan ES (a=0,1)","Hasil Ramalan ES (a=0,8)"
1/10/2002,290,,
1/11/2002,312,290,290
1/12/2002,241,309.8,294.4
1/1/2003,290,247.88,283.72
1/2/2003,287,285.788,284.976
1/3/2003,276,286.8788,285.3808
1/4/2003,289,277.08788,283.50464
1/5/2003,290,287.808788,284.603712
1/6/2003,289,289.7808788,285.6829696
1/7/2003,291,289.0780879,286.3463757
1/8/2003,301,290.8078088,287.2771005
1/9/2003,295,299.9807809,290.0216804
1/10/2003,298,295.4980781,291.0173443
1/11/2003,305,297.7498078,292.4138755
1/12/2003,400,304.2749808,294.9311004
1/1/2004,340,390.4274981,315.9448803
1/2/2004,280,345.0427498,320.7559042
1/3/2004,340,286.504275,312.6047234
1/4/2004,310,334.6504275,318.0837787
1/5/2004,406,312.4650427,316.467023
1/6/2004,340,396.6465043,334.3736184
1/7/2004,280,345.6646504,335.4988947
1/8/2004,440,286.566465,324.3991158
1/9/2004,290,424.6566465,347.5192926
1/10/2004,340,303.4656647,336.0154341
1/11/2004,365,336.3465665,336.8123473
1/12/2004,377,362.1346566,342.4498778
1/1/2005,370,375.5134657,349.3599023
1/2/2005,289,370.5513466,353.4879218
1/3/2005,345,297.1551347,340.5903374
1/4/2005,340,340.2155135,341.47227
1/5/2005,196,340.0215513,341.177816
1/6/2005,334,210.4021551,312.1422528
1/7/2005,567,321.6402155,316.5138022
1/8/2005,370,542.4640216,366.6110418
1/9/2005,424,387.2464022,367.2888334
1/10/2005,356,420.3246402,378.6310667
1/11/2005,390,362.432464,374.1048534
1/12/2005,390,387.2432464,377.2838827
1/1/2006,380,389.7243246,379.8271062
1/2/2006,390,380.9724325,379.8616849
1/3/2006,387,389.0972432,381.8893479
1/4/2006,403,387.2097243,382.9114784
1/5/2006,385,401.4209724,386.9291827
1/6/2006,399,386.6420972,386.5433461
1/7/2006,258,397.7642097,389.0346769
1/8/2006,350,271.976421,362.8277415
1/9/2006,340,342.1976421,360.2621932
1/10/2006,310,340.2197642,356.2097546
1/11/2006,340,313.0219764,346.9678037
1/12/2006,290,337.3021976,345.5742429
1/1/2007,340,294.7302198,334.4593943
1/2/2007,490,335.473022,335.5675155
1/3/2007,472,474.5473022,366.4540124
